species_key	display_name	phylum	n_proteins_with_lcr	n_proteins_with_terminal_lcr	pct_proteins_terminal	binomial_p	significant
thermanaerovibrio_acidaminovorans_dsm_6589_gca_000024905	Thermanaerovibrio acidaminovorans DSM 6589	Bacteria	14	6	42.86	0.001474	True
thermococcus_kodakarensis	Thermococcus kodakarensis	Archaea	15	3	20.0	0.184061	False
thermodesulfovibrio_yellowstonii_dsm_11347_gca_000020985	Thermodesulfovibrio yellowstonii DSM 11347	Bacteria	11	5	45.45	0.002751	True
thermofilum_pendens_hrk_5_gca_000015225	Thermofilum pendens Hrk 5	Archaea	15	8	53.33	3.4e-05	True
thermoplasma_acidophilum	Thermoplasma acidophilum	Archaea	8	2	25.0	0.186895	False
thermosynechococcus_elongatus_bp_1_gca_000011345	Thermosynechococcus elongatus BP-1	Bacteria	31	11	35.48	0.000126	True
thermotoga_maritima	Thermotoga maritima	Bacteria	12	3	25.0	0.11087	False
thermus_thermophilus	Thermus thermophilus HB8	Bacteria	19	7	36.84	0.001696	True
thraustotheca_clavata_gca_002081575	Thraustotheca clavata str. ATCC 34112	Oomycota	317	72	22.71	0.0	True
thrips_palmi_gca012932325v1rs	Thrips palmi	Insecta	872	187	21.44	0.0	True
tieghemostelium_lacteum_gca_001606155	Tieghemostelium lacteum str. TK	Amoebozoa	1552	328	21.13	0.0	True
tigriopus_californicus_gca007210705	Tigriopus californicus	Crustacea	1004	206	20.52	0.0	True
topomyia_yanbarensis_gca030247195v1rs	Topomyia yanbarensis	Insecta	1102	224	20.33	0.0	True
toxoplasma_gondii_veg_gca_000150015	Toxoplasma gondii VEG	Apicomplexa	558	89	15.95	8e-06	True
toxorhynchites_rutilus_gca029784135v1rs	Toxorhynchites rutilus septentrionalis	Insecta	1063	238	22.39	0.0	True
treponema_pallidum	Treponema pallidum	Bacteria	9	2	22.22	0.225159	False
trialeurodes_vaporariorum_gca011764245	Trialeurodes vaporariorum	Insecta	539	104	19.29	0.0	True
tribolium_castaneum_gca031307605v1rs	Tribolium castaneum	Insecta	447	95	21.25	0.0	True
tribolium_madens_gca015345945v1rs	Tribolium madens	Insecta	437	102	23.34	0.0	True
trichinella_spiralis	Trichinella spiralis	Nematoda	850	134	15.76	0.0	True
trichogramma_pretiosum_gca000599845v3	Trichogramma pretiosum	Insecta	1331	344	25.85	0.0	True
trichoplax_adhaerens	Trichoplax adhaerens	Placozoa	228	43	18.86	3.7e-05	True
trichoplax_sp_h2	Trichoplax sp. H2	Placozoa	336	72	21.43	0.0	True
trichuris_muris	Trichuris muris	Nematoda	416	69	16.59	2.2e-05	True
trifolium_pratense	Trifolium pratense	Viridiplantae	6779	1214	17.91	0.0	True
triticum_aestivum_stanley	Triticum aestivum Stanley	Viridiplantae	8081	2480	30.69	0.0	True
triticum_dicoccoides	Triticum dicoccoides	Viridiplantae	4062	1178	29.0	0.0	True
triticum_spelta	Triticum spelta	Viridiplantae	6851	2142	31.27	0.0	True
triticum_timopheevii	Triticum timopheevii	Viridiplantae	7900	2228	28.2	0.0	True
triticum_turgidum	Triticum turgidum	Viridiplantae	2094	622	29.7	0.0	True
triticum_urartu	Triticum urartu	Viridiplantae	1945	614	31.57	0.0	True
tritrichomonas_foetus_gca_001839685	Tritrichomonas foetus str. K	Metamonada	1018	186	18.27	0.0	True
trypanosoma_brucei	Trypanosoma brucei	Euglenozoa	396	80	20.2	0.0	True
trypanosoma_conorhini_gca_003719485	Trypanosoma conorhini	Euglenozoa	1239	286	23.08	0.0	True
trypanosoma_cruzi_marinkellei_gca_000300495	Trypanosoma cruzi marinkellei	Euglenozoa	1169	364	31.14	0.0	True
trypanosoma_equiperdum_gca_001457755	Trypanosoma equiperdum	Euglenozoa	287	64	22.3	0.0	True
trypanosoma_rangeli_sc58_gca_000492115	Trypanosoma rangeli SC58	Euglenozoa	516	102	19.77	0.0	True
trypanosoma_theileri_gca_002087225	Trypanosoma theileri	Euglenozoa	2792	447	16.01	0.0	True
tubulanus_polymorphus	Tubulanus polymorphus	Nemertea	954	210	22.01	0.0	True
uloborus_diversus_gca026930045v1rs	Uloborus diversus	Chelicerata	510	106	20.78	0.0	True
uranotaenia_lowii_gca029784155v1rs	Uranotaenia lowii	Insecta	1360	274	20.15	0.0	True
ureaplasma_parvum_serovar_3_str_atcc_700970_gca_000006625	Ureaplasma parvum serovar 3 str. ATCC 700970	Bacteria	5	0	0.0	1.0	False
ustilago_maydis	Mycosarcoma maydis	Fungi	476	92	19.33	0.0	True
varroa_destructor_gca002443255	Varroa destructor	Chelicerata	780	162	20.77	0.0	True
varroa_jacobsoni_gca002532875v1rs	Varroa jacobsoni	Chelicerata	784	158	20.15	0.0	True
venturia_canescens_gca019457755v1rs	Venturia canescens	Insecta	906	174	19.21	0.0	True
vespa_mandarinia_gca014083535v2rs	Vespa mandarinia	Insecta	1072	189	17.63	0.0	True
vibrio_cholerae_o1_biovar_el_tor_str_n16961_gca_000006745	Vibrio cholerae O1 biovar El Tor str. N16961	Bacteria	22	4	18.18	0.171928	False
vicia_faba	Vicia faba	Viridiplantae	1459	342	23.44	0.0	True
vigna_angularis	Vigna angularis	Viridiplantae	1546	341	22.06	0.0	True
vigna_radiata	Vigna radiata	Viridiplantae	669	183	27.35	0.0	True
vigna_unguiculata_gca004118075v2rs	Vigna unguiculata IT97K-499-35	Viridiplantae	1463	351	23.99	0.0	True
vitis_vinifera	Vitis vinifera	Viridiplantae	1348	377	27.97	0.0	True
volvox_carteri	Volvox carteri f. nagariensis	Chlorophyta	2480	327	13.19	0.0	True
wolbachia_endosymbiont_of_drosophila_melanogaster_gca_000008025	Wolbachia endosymbiont of Drosophila melanogaster	Bacteria	4	0	0.0	1.0	False
wyeomyia_smithii_gca029784165v1rs	Wyeomyia smithii	Insecta	1066	198	18.57	0.0	True
xanthomonas_campestris_pv_campestris_str_atcc_33913_gca_000007145	Xanthomonas campestris pv. campestris str. ATCC 33913	Bacteria	59	24	40.68	0.0	True
yersinia_pestis_biovar_microtus_str_91001_gca_000007885	Yersinia pestis biovar Microtus str. 91001	Bacteria	22	10	45.45	2.1e-05	True
zea_mays	Zea mays	Viridiplantae	2626	675	25.7	0.0	True
zerene_cesonia_gca012273895v2rs	Zerene cesonia	Insecta	491	92	18.74	0.0	True
zeugodacus_cucurbitae_gca028554725v2rs	Zeugodacus cucurbitae	Insecta	1184	228	19.26	0.0	True
zootermopsis_nevadensis	Zootermopsis nevadensis	Insecta	745	172	23.09	0.0	True
zymoseptoria_tritici	Zymoseptoria tritici	Fungi	316	74	23.42	0.0	True
