species_key	display_name	n_lcr	n_nterm	n_cterm	pct_nterm	pct_cterm	asymmetry_ratio	tier	tier_label
cryptomeria_japonica	Cryptomeria japonica	1440	169	131	11.74	9.1	1.29	5	Gymnosperms
vitis_vinifera	Vitis vinifera	1417	250	131	17.64	9.24	1.908	7	Eudicots
citrus_clementina	Citrus clementina	1398	225	94	16.09	6.72	2.394	7	Eudicots
nicotiana_attenuata	Nicotiana attenuata	1390	190	93	13.67	6.69	2.043	7	Eudicots
theobroma_cacao	Theobroma cacao Matina 1-6	1383	238	81	17.21	5.86	2.938	7	Eudicots
citrullus_lanatus	Citrullus lanatus	1373	196	94	14.28	6.85	2.085	7	Eudicots
corylus_avellana	Corylus avellana	1358	246	94	18.11	6.92	2.617	7	Eudicots
lathyrus_sativus	Lathyrus sativus	1346	216	55	16.05	4.09	3.927	7	Eudicots
aristolochia_fimbriata	Aristolochia fimbriata	1345	159	83	11.82	6.17	1.916	6	Basal angiosperms
phaseolus_vulgaris	Phaseolus vulgaris	1324	219	74	16.54	5.59	2.959	7	Eudicots
corchorus_capsularis	Corchorus capsularis	1304	192	86	14.72	6.6	2.233	7	Eudicots
sphenostylis_stenocarpa	Sphenostylis stenocarpa	1303	184	78	14.12	5.99	2.359	7	Eudicots
lablab_purpureus_gca030347555v1cm	Lablab purpureus Natoba	1253	217	73	17.32	5.83	2.973	7	Eudicots
ceratopteris_richardii	Ceratopteris richardii	1234	156	119	12.64	9.64	1.311	4	Ferns
coffea_canephora	Coffea canephora	1191	198	79	16.62	6.63	2.506	7	Eudicots
chlorella_variabilis	Chlorella variabilis	1186	94	124	7.93	10.46	0.758	0	Chlorophyta
cannabis_sativa_female	Cannabis sativa female	1163	176	63	15.13	5.42	2.794	7	Eudicots
nymphaea_colorata_gca008831285v2rs	Nymphaea colorata Beijing-Zhang1983	1149	208	57	18.1	4.96	3.649	6	Basal angiosperms
diphasiastrum_complanatum	Diphasiastrum complanatum	1134	275	73	24.25	6.44	3.767	3	Lycophytes
adiantum_capillus_veneris	Adiantum capillus-veneris	1079	177	71	16.4	6.58	2.493	4	Ferns
physcomitrium_patens	Physcomitrium patens	1067	100	99	9.37	9.28	1.01	2	Bryophytes
daucus_carota	Daucus carota	1056	157	85	14.87	8.05	1.847	7	Eudicots
micromonas_commoda	Micromonas commoda	968	54	95	5.58	9.81	0.568	0	Chlorophyta
chenopodium_quinoa	Chenopodium quinoa	915	167	52	18.25	5.68	3.212	7	Eudicots
ceratodon_purpureus	Ceratodon purpureus	913	150	70	16.43	7.67	2.143	2	Bryophytes
marchantia_polymorpha	Marchantia polymorpha	906	131	57	14.46	6.29	2.298	2	Bryophytes
lupinus_angustifolius	Lupinus angustifolius	889	152	41	17.1	4.61	3.707	7	Eudicots
taxus_chinensis	Taxus chinensis	831	133	52	16.0	6.26	2.558	5	Gymnosperms
amborella_trichopoda	Amborella trichopoda	828	117	67	14.13	8.09	1.746	6	Basal angiosperms
digitaria_exilis	Digitaria exilis	796	158	34	19.85	4.27	4.647	9	Grasses
pinus_longaeva	Pinus longaeva	743	97	49	13.06	6.59	1.98	5	Gymnosperms
klebsormidium_nitens	Klebsormidium nitens	444	42	45	9.46	10.14	0.933	1	Charophytes
coccomyxa_subellipsoidea	Coccomyxa subellipsoidea C-169	348	21	42	6.03	12.07	0.5	0	Chlorophyta
olea_europaea	Olea europaea	269	27	12	10.04	4.46	2.25	7	Eudicots
ostreococcus_lucimarinus	Ostreococcus lucimarinus	146	23	16	15.75	10.96	1.438	0	Chlorophyta
